file,title,schema_types,schema_count,has_Article,has_FAQPage,has_HowTo,has_ItemList,has_BreadcrumbList,has_VideoObject,has_TechArticle,has_DefinedTerm,hreflang,faq_section,comparison_table,author_byline,dateModified,freshness,word_count
ai-crypto-education-app-pricing-romania-2026.html,AI Crypto Education App Pricing Romania 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-11,INVALID,3813
ai-crypto-trading-education.html,How AI Is Changing Crypto Market Education | ChartScope,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,False,True,2026-04-29,INVALID,3828
beginner-crypto-chart-training-switzerland-2026.html,Beginner Crypto Chart Training Switzerland 2026,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,True,True,2026-05-20,INVALID,2640
best-crypto-chart-analysis-app-belgium-2026.html,Best Crypto Chart Analysis App Belgium 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-15,INVALID,4129
best-crypto-chart-analysis-tools-2026.html,Best Crypto Chart Analysis Tools 2026: A Step-by-Step Guide,"Article,BreadcrumbList,FAQPage,HowTo,ListItem",5,True,True,True,False,True,False,False,False,True,True,False,True,2026-05-11,INVALID,2126
best-crypto-education-app-2026-no-trading-signals.html,Best Crypto Education App 2026: No Trading Signals,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,True,True,2026-05-08,INVALID,3313
best-crypto-education-app-for-beginners.html,Best Crypto Education Apps for Beginners: ChartScope &amp; More,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,False,True,2026-05-22,INVALID,1734
best-crypto-education-app-in-belgium-understand-crypto-taxes.html,Best Crypto Education App in Belgium: Understand Crypto Taxes,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,True,True,2026-04-21,INVALID,2189
best-crypto-education-app-luxembourg-2026-chartscope.html,Best Crypto Education App Luxembourg 2026 | Chartscope,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-04,INVALID,3448
best-crypto-education-app-romania-2026-chartscope.html,Best Crypto Education App Romania 2026 | Chartscope,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,True,True,2026-05-27,INVALID,2810
best-crypto-education-app-switzerland-2026.html,Best Crypto Education App Switzerland 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-18,INVALID,3636
bollinger-bands-crypto-explained.html,What Are Bollinger Bands in Crypto? Explained Simply | ChartScope,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,False,True,True,2026-05-23T00:00:00+00:00,FRESH,3766
chartscope-ai-crypto-education-app-price-romania-2026.html,Chartscope: AI Crypto Education App Price Romania 2026,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,True,True,2026-05-27,INVALID,3428
chartscope-alternative-understand-crypto-charts-easily.html,Chartscope Alternative: Understand Crypto Charts Easily,"Article,BreadcrumbList,ItemList,ListItem",4,True,False,False,True,True,False,False,False,True,False,True,True,2026-04-26,INVALID,2365
chartscope-app-crypto-technical-analysis-germany-2026.html,Chartscope App: Crypto Technical Analysis Germany 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-25,INVALID,3260
chartscope-review-ai-crypto-chart-analysis-app-2026.html,Chartscope Review: AI Crypto Chart Analysis App 2026,"Article,BreadcrumbList,FAQPage,ItemList,ListItem",5,True,True,False,True,True,False,False,False,True,True,True,True,2026-05-22,INVALID,3525
chartscope-review-ai-crypto-chart-analysis-app-france-2026.html,Chartscope Review: AI Crypto Chart Analysis App France 2026,"Article,BreadcrumbList,FAQPage,ItemList,ListItem",5,True,True,False,True,True,False,False,False,True,True,True,True,2026-05-15,INVALID,3543
crypto-chart-analysis-for-beginners-france-2026.html,Crypto Chart Analysis for Beginners France 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-13,INVALID,3848
crypto-chart-analysis-for-beginners-luxembourg-2026.html,Crypto Chart Analysis for Beginners Luxembourg 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-04,INVALID,3860
crypto-chart-analysis-switzerland-tax-implications.html,Crypto Chart Analysis Switzerland &amp; Tax Implications,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,True,True,2026-04-26,INVALID,2066
crypto-chart-pattern-analysis-for-beginners-belgium.html,Crypto Chart Pattern Analysis for Beginners (Belgium),"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,True,False,True,2026-04-26,INVALID,2082
crypto-chart-patterns-beginners-2026.html,7 Crypto Chart Patterns Every Beginner Must Know in 2026 | ChartScope,"Article,BreadcrumbList,FAQPage,HowTo,ItemList,ListItem,TechArticle",7,True,True,True,True,True,False,True,False,True,True,True,True,2026-05-30T00:00:00+00:00,FRESH,5154
crypto-chart-training-luxembourg-understand-charts-easily.html,Crypto Chart Training Luxembourg: Understand Charts Easily,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,True,True,2026-04-27,INVALID,2826
crypto-education-app-learn-crypto-charts-easily.html,Crypto Education App: Learn Crypto Charts Easily,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,True,True,True,2026-04-21,INVALID,2280
crypto-education-app-switzerland-learn-charts-safely-2026.html,Crypto Education App Switzerland: Learn Charts Safely 2026,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,True,True,True,2026-04-27,INVALID,2876
crypto-education-app-vs-traditional-finance-courses.html,Crypto Education Apps vs. Traditional Finance Courses: An In-Depth Guide,"Article,BreadcrumbList,FAQPage,ItemList,ListItem",5,True,True,False,True,True,False,False,False,True,True,False,True,2026-05-29,INVALID,2000
crypto-education-platform.html,Choosing the Best Crypto Education Platform: An Authoritative Guide,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,False,True,2026-05-15,INVALID,1861
crypto-security-best-practices.html,Crypto Security Best Practices 2026 | ChartScope,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,True,True,2026-04-29,INVALID,3983
crypto-technical-analysis-for-beginners-in-romania-2026.html,Crypto Technical Analysis for Beginners in Romania 2026,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,True,True,2026-05-27,INVALID,2913
crypto-technical-analysis-formation-luxembourg-2026.html,Crypto Technical Analysis Formation Luxembourg 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-22,INVALID,3315
